User,Date,bathroom_count
5,2024-01-08,2
5,2024-01-09,4
5,2024-01-10,0
5,2024-01-11,2
5,2024-01-12,3
5,2024-01-13,3
5,2024-01-14,2
5,2024-01-15,2
5,2024-01-16,0
5,2024-01-17,0
5,2024-01-18,2
5,2024-01-19,0
5,2024-01-20,4
5,2024-01-21,2
5,2024-01-22,2
5,2024-01-23,0
5,2024-01-24,4
5,2024-01-25,0
5,2024-01-26,2
5,2024-01-27,4
5,2024-01-28,0
5,2024-01-29,0
5,2024-01-30,0
6,2024-01-01,2
6,2024-01-02,2
6,2024-01-03,6
6,2024-01-04,0
6,2024-01-05,0
6,2024-01-06,0
6,2024-01-07,0
6,2024-01-08,0
6,2024-01-09,2
6,2024-01-10,2
6,2024-01-11,4
6,2024-01-12,4
6,2024-01-13,4
6,2024-01-14,4
6,2024-01-15,2
6,2024-01-16,0
6,2024-01-17,0
6,2024-01-18,2
6,2024-01-19,2
6,2024-01-20,2
6,2024-01-21,0
6,2024-01-22,2
6,2024-01-23,2
6,2024-01-24,0
6,2024-01-25,0
6,2024-01-26,2
6,2024-01-27,4
6,2024-01-28,0
6,2024-01-29,0
6,2024-01-30,0
7,2024-01-01,0
7,2024-01-02,0
7,2024-01-03,0
7,2024-01-04,4
7,2024-01-05,0
7,2024-01-06,1
7,2024-01-07,2
7,2024-01-08,0
7,2024-01-09,2
7,2024-01-10,0
7,2024-01-11,2
7,2024-01-12,0
7,2024-01-13,0
7,2024-01-14,0
7,2024-01-15,2
7,2024-01-16,4
7,2024-01-17,0
7,2024-01-18,2
7,2024-01-19,4
7,2024-01-20,4
7,2024-01-21,4
7,2024-01-22,2
7,2024-01-23,2
7,2024-01-24,6
7,2024-01-25,2
7,2024-01-26,4
7,2024-01-27,0
7,2024-01-28,2
7,2024-01-29,4
7,2024-01-30,2
8,2024-01-01,4
8,2024-01-02,2
8,2024-01-03,2
8,2024-01-04,2
8,2024-01-05,0
8,2024-01-06,0
8,2024-01-07,0
8,2024-01-08,0
8,2024-01-09,0
8,2024-01-10,0
8,2024-01-11,2
8,2024-01-12,3
8,2024-01-13,4
8,2024-01-14,2
8,2024-01-15,0
8,2024-01-16,0
8,2024-01-17,0
8,2024-01-18,2
8,2024-01-19,4
8,2024-01-20,2
8,2024-01-21,2
8,2024-01-22,0
8,2024-01-23,0
8,2024-01-24,0
8,2024-01-25,0
8,2024-01-26,2
8,2024-01-27,2
8,2024-01-28,2
8,2024-01-29,2
8,2024-01-30,4
9,2024-01-01,4
9,2024-01-02,0
9,2024-01-03,0
9,2024-01-04,2
9,2024-01-05,0
9,2024-01-06,2
9,2024-01-07,0
9,2024-01-08,0
9,2024-01-09,4
9,2024-01-10,2
9,2024-01-11,2
9,2024-01-12,0
9,2024-01-13,0
9,2024-01-14,2
9,2024-01-15,3
9,2024-01-16,0
9,2024-01-17,0
9,2024-01-18,0
9,2024-01-19,0
9,2024-01-20,0
9,2024-01-21,2
9,2024-01-22,6
9,2024-01-23,4
9,2024-01-24,2
9,2024-01-25,0
9,2024-01-26,0
9,2024-01-27,2
9,2024-01-28,0
9,2024-01-29,0
9,2024-01-30,0
10,2024-01-01,0
10,2024-01-02,4
10,2024-01-03,2
10,2024-01-04,4
10,2024-01-05,0
10,2024-01-06,0
10,2024-01-07,0
10,2024-01-08,0
10,2024-01-09,2
10,2024-01-10,4
10,2024-01-11,0
10,2024-01-12,4
10,2024-01-13,0
10,2024-01-14,0
10,2024-01-15,2
10,2024-01-16,2
10,2024-01-17,0
10,2024-01-18,2
10,2024-01-19,4
10,2024-01-20,4
10,2024-01-21,0
10,2024-01-22,0
10,2024-01-23,2
10,2024-01-24,0
10,2024-01-25,0
10,2024-01-26,6
10,2024-01-27,4
10,2024-01-28,0
10,2024-01-29,2
10,2024-01-30,2
11,2024-01-01,2
11,2024-01-02,4
11,2024-01-03,4
11,2024-01-04,0
11,2024-01-05,0
11,2024-01-06,2
11,2024-01-07,4
11,2024-01-08,0
11,2024-01-09,4
11,2024-01-10,0
11,2024-01-11,0
11,2024-01-12,0
11,2024-01-13,4
11,2024-01-14,0
11,2024-01-15,0
11,2024-01-16,0
11,2024-01-17,2
11,2024-01-18,4
11,2024-01-19,0
11,2024-01-20,2
11,2024-01-21,0
11,2024-01-22,0
11,2024-01-23,0
11,2024-01-24,2
11,2024-01-25,8
11,2024-01-26,2
11,2024-01-27,2
11,2024-01-28,2
11,2024-01-29,0
11,2024-01-30,0
12,2024-01-01,2
12,2024-01-02,4
12,2024-01-03,3
12,2024-01-04,4
12,2024-01-05,0
12,2024-01-06,1
12,2024-01-07,0
12,2024-01-08,2
12,2024-01-09,0
12,2024-01-10,0
12,2024-01-11,2
12,2024-01-12,2
12,2024-01-13,2
12,2024-01-14,0
12,2024-01-15,2
12,2024-01-16,0
12,2024-01-17,1
12,2024-01-18,0
12,2024-01-19,0
12,2024-01-20,0
12,2024-01-21,0
12,2024-01-22,2
12,2024-01-23,1
12,2024-01-24,0
12,2024-01-25,2
12,2024-01-26,4
12,2024-01-27,2
12,2024-01-28,0
12,2024-01-29,0
12,2024-01-30,2
13,2024-01-01,2
13,2024-01-02,0
13,2024-01-03,0
13,2024-01-04,0
13,2024-01-05,0
13,2024-01-06,0
13,2024-01-07,6
13,2024-01-08,2
13,2024-01-09,0
13,2024-01-10,0
13,2024-01-11,0
13,2024-01-12,0
13,2024-01-13,2
13,2024-01-14,5
13,2024-01-15,0
13,2024-01-16,0
13,2024-01-17,0
13,2024-01-18,2
13,2024-01-19,0
13,2024-01-20,0
13,2024-01-21,4
13,2024-01-22,2
13,2024-01-23,0
13,2024-01-24,2
13,2024-01-25,0
13,2024-01-26,0
13,2024-01-27,0
13,2024-01-28,0
13,2024-01-29,0
13,2024-01-30,0
14,2024-01-01,0
14,2024-01-02,0
14,2024-01-03,2
14,2024-01-04,0
14,2024-01-05,2
14,2024-01-06,3
14,2024-01-07,6
14,2024-01-08,0
14,2024-01-09,0
14,2024-01-10,2
14,2024-01-11,0
14,2024-01-12,4
14,2024-01-13,0
14,2024-01-14,0
14,2024-01-15,2
14,2024-01-16,0
14,2024-01-17,2
14,2024-01-18,0
14,2024-01-19,0
14,2024-01-20,0
14,2024-01-21,2
14,2024-01-22,2
14,2024-01-23,0
14,2024-01-24,2
14,2024-01-25,4
14,2024-01-26,3
14,2024-01-27,4
14,2024-01-28,0
14,2024-01-29,2
14,2024-01-30,0
15,2024-01-01,0
15,2024-01-02,2
15,2024-01-03,2
15,2024-01-04,2
15,2024-01-05,0
15,2024-01-06,2
15,2024-01-07,4
15,2024-01-08,4
15,2024-01-09,0
15,2024-01-10,2
15,2024-01-11,0
15,2024-01-12,0
15,2024-01-13,4
15,2024-01-14,2
15,2024-01-15,0
15,2024-01-16,0
15,2024-01-17,2
15,2024-01-18,6
15,2024-01-19,0
15,2024-01-20,2
15,2024-01-21,2
15,2024-01-22,0
15,2024-01-23,5
15,2024-01-24,0
15,2024-01-25,0
15,2024-01-26,2
15,2024-01-27,0
15,2024-01-28,2
15,2024-01-29,2
15,2024-01-30,0
16,2024-01-01,2
16,2024-01-02,2
16,2024-01-03,2
16,2024-01-04,2
16,2024-01-05,0
16,2024-01-06,0
16,2024-01-07,0
16,2024-01-08,0
16,2024-01-09,2
16,2024-01-10,0
16,2024-01-11,2
16,2024-01-12,2
16,2024-01-13,2
16,2024-01-14,2
16,2024-01-15,4
16,2024-01-16,0
16,2024-01-17,5
16,2024-01-18,0
16,2024-01-19,0
16,2024-01-20,2
16,2024-01-21,1
16,2024-01-22,0
16,2024-01-23,4
16,2024-01-24,4
16,2024-01-25,2
16,2024-01-26,0
16,2024-01-27,0
16,2024-01-28,0
16,2024-01-29,2
16,2024-01-30,1
17,2024-01-01,2
17,2024-01-02,0
17,2024-01-03,2
17,2024-01-04,2
17,2024-01-05,1
17,2024-01-06,2
17,2024-01-07,0
17,2024-01-08,0
17,2024-01-09,2
17,2024-01-10,4
17,2024-01-11,2
17,2024-01-12,0
17,2024-01-13,2
17,2024-01-14,3
17,2024-01-15,4
17,2024-01-16,0
17,2024-01-17,6
17,2024-01-18,0
17,2024-01-19,0
17,2024-01-20,0
17,2024-01-21,0
17,2024-01-22,0
17,2024-01-23,0
17,2024-01-24,2
17,2024-01-25,4
17,2024-01-26,2
17,2024-01-27,2
17,2024-01-28,9
17,2024-01-29,2
17,2024-01-30,0
18,2024-01-01,0
18,2024-01-02,2
18,2024-01-03,2
18,2024-01-04,2
18,2024-01-05,0
18,2024-01-06,0
18,2024-01-07,0
18,2024-01-08,0
18,2024-01-09,2
18,2024-01-10,2
18,2024-01-11,2
18,2024-01-12,2
18,2024-01-13,6
18,2024-01-14,2
18,2024-01-15,0
18,2024-01-16,2
18,2024-01-17,2
18,2024-01-18,0
18,2024-01-19,0
18,2024-01-20,0
18,2024-01-21,2
18,2024-01-22,0
18,2024-01-23,0
18,2024-01-24,0
18,2024-01-25,2
18,2024-01-26,2
18,2024-01-27,6
18,2024-01-28,2
18,2024-01-29,2
18,2024-01-30,2
19,2024-01-01,0
19,2024-01-02,2
19,2024-01-03,2
19,2024-01-04,0
19,2024-01-05,0
19,2024-01-06,2
19,2024-01-07,2
19,2024-01-08,0
19,2024-01-09,0
19,2024-01-10,2
19,2024-01-11,0
19,2024-01-12,0
19,2024-01-13,0
19,2024-01-14,0
19,2024-01-15,0
19,2024-01-16,0
19,2024-01-17,0
19,2024-01-18,2
19,2024-01-19,0
19,2024-01-20,0
19,2024-01-21,2
19,2024-01-22,0
19,2024-01-23,0
19,2024-01-24,5
19,2024-01-25,2
19,2024-01-26,4
19,2024-01-27,2
19,2024-01-28,0
19,2024-01-29,0
19,2024-01-30,0
20,2024-01-01,2
20,2024-01-02,4
20,2024-01-03,0
20,2024-01-04,0
20,2024-01-05,0
20,2024-01-06,0
20,2024-01-07,2
20,2024-01-08,2
20,2024-01-09,4
20,2024-01-10,2
20,2024-01-11,0
20,2024-01-12,0
20,2024-01-13,0
20,2024-01-14,2
20,2024-01-15,2
20,2024-01-16,6
20,2024-01-17,0
20,2024-01-18,0
20,2024-01-19,0
20,2024-01-20,0
20,2024-01-21,0
20,2024-01-22,0
20,2024-01-23,2
20,2024-01-24,2
20,2024-01-25,4
20,2024-01-26,0
20,2024-01-27,0
20,2024-01-28,0
20,2024-01-29,2
20,2024-01-30,1
21,2024-01-01,0
21,2024-01-02,6
21,2024-01-03,0
21,2024-01-04,0
21,2024-01-05,2
21,2024-01-06,2
21,2024-01-07,3
21,2024-01-08,2
21,2024-01-09,0
21,2024-01-10,2
21,2024-01-11,0
21,2024-01-12,2
21,2024-01-13,0
21,2024-01-14,0
21,2024-01-15,4
21,2024-01-16,0
21,2024-01-17,0
21,2024-01-18,0
21,2024-01-19,2
21,2024-01-20,0
21,2024-01-21,2
21,2024-01-22,0
21,2024-01-23,0
21,2024-01-24,2
21,2024-01-25,2
21,2024-01-26,0
21,2024-01-27,4
21,2024-01-28,2
21,2024-01-29,4
21,2024-01-30,0
22,2024-01-01,2
22,2024-01-02,2
22,2024-01-03,4
22,2024-01-04,0
22,2024-01-05,6
22,2024-01-06,0
22,2024-01-07,2
22,2024-01-08,4
22,2024-01-09,2
22,2024-01-10,4
22,2024-01-11,0
22,2024-01-12,0
22,2024-01-13,0
22,2024-01-14,0
22,2024-01-15,2
22,2024-01-16,0
22,2024-01-17,0
22,2024-01-18,2
22,2024-01-19,2
22,2024-01-20,0
22,2024-01-21,0
22,2024-01-22,2
22,2024-01-23,2
22,2024-01-24,0
22,2024-01-25,0
22,2024-01-26,6
22,2024-01-27,0
22,2024-01-28,2
22,2024-01-29,0
22,2024-01-30,0
23,2024-01-01,0
23,2024-01-02,4
23,2024-01-03,2
23,2024-01-04,0
23,2024-01-05,0
23,2024-01-06,0
23,2024-01-07,2
23,2024-01-08,0
23,2024-01-09,2
23,2024-01-10,0
23,2024-01-11,2
23,2024-01-12,0
23,2024-01-13,0
23,2024-01-14,0
23,2024-01-15,2
23,2024-01-16,4
23,2024-01-17,0
23,2024-01-18,0
23,2024-01-19,0
23,2024-01-20,2
23,2024-01-21,0
23,2024-01-22,2
23,2024-01-23,2
23,2024-01-24,0
23,2024-01-25,0
23,2024-01-26,0
23,2024-01-27,2
23,2024-01-28,0
23,2024-01-29,2
23,2024-01-30,0
24,2024-01-01,2
24,2024-01-02,0
24,2024-01-03,0
24,2024-01-04,0
24,2024-01-05,0
24,2024-01-06,2
24,2024-01-07,2
24,2024-01-08,2
24,2024-01-09,0
24,2024-01-10,2
24,2024-01-11,0
24,2024-01-12,2
24,2024-01-13,0
24,2024-01-14,4
24,2024-01-15,0
24,2024-01-16,0
24,2024-01-17,1
24,2024-01-18,2
24,2024-01-19,0
24,2024-01-20,2
24,2024-01-21,2
24,2024-01-22,0
24,2024-01-23,2
24,2024-01-24,2
24,2024-01-25,2
24,2024-01-26,4
24,2024-01-27,4
24,2024-01-28,0
24,2024-01-29,2
24,2024-01-30,0
25,2024-01-01,0
25,2024-01-02,0
25,2024-01-03,2
25,2024-01-04,2
25,2024-01-05,2
25,2024-01-06,0
25,2024-01-07,0
25,2024-01-08,0
25,2024-01-09,0
25,2024-01-10,0
25,2024-01-11,4
25,2024-01-12,2
25,2024-01-13,2
25,2024-01-14,0
25,2024-01-15,0
25,2024-01-16,2
25,2024-01-17,2
25,2024-01-18,0
25,2024-01-19,0
25,2024-01-20,4
25,2024-01-21,2
25,2024-01-22,0
25,2024-01-23,2
25,2024-01-24,0
25,2024-01-25,2
25,2024-01-26,0
25,2024-01-27,0
25,2024-01-28,2
25,2024-01-29,2
25,2024-01-30,1
26,2024-01-01,4
26,2024-01-02,0
26,2024-01-03,0
26,2024-01-04,0
26,2024-01-05,0
26,2024-01-06,0
26,2024-01-07,0
26,2024-01-08,0
26,2024-01-09,0
26,2024-01-10,2
26,2024-01-11,0
26,2024-01-12,0
26,2024-01-13,4
26,2024-01-14,6
26,2024-01-15,0
26,2024-01-16,0
26,2024-01-17,0
26,2024-01-18,0
26,2024-01-19,0
26,2024-01-20,0
26,2024-01-21,8
26,2024-01-22,4
26,2024-01-23,0
26,2024-01-24,2
26,2024-01-25,0
26,2024-01-26,0
26,2024-01-27,2
26,2024-01-28,6
26,2024-01-29,0
26,2024-01-30,0
27,2024-01-01,0
27,2024-01-02,2
27,2024-01-03,2
27,2024-01-04,2
27,2024-01-05,0
27,2024-01-06,2
27,2024-01-07,2
27,2024-01-08,0
27,2024-01-09,0
27,2024-01-10,2
27,2024-01-11,0
27,2024-01-12,2
27,2024-01-13,6
27,2024-01-14,2
27,2024-01-15,1
27,2024-01-16,0
27,2024-01-17,4
27,2024-01-18,0
27,2024-01-19,0
27,2024-01-20,4
27,2024-01-21,2
27,2024-01-22,2
27,2024-01-23,2
27,2024-01-24,4
27,2024-01-25,0
27,2024-01-26,6
27,2024-01-27,0
27,2024-01-28,0
27,2024-01-29,0
27,2024-01-30,0
28,2024-01-01,2
28,2024-01-02,2
28,2024-01-03,0
28,2024-01-04,2
28,2024-01-05,4
28,2024-01-06,0
28,2024-01-07,2
28,2024-01-08,0
28,2024-01-09,2
28,2024-01-10,2
28,2024-01-11,0
28,2024-01-12,1
28,2024-01-13,0
28,2024-01-14,0
28,2024-01-15,0
28,2024-01-16,0
28,2024-01-17,0
28,2024-01-18,0
28,2024-01-19,2
28,2024-01-20,4
28,2024-01-21,0
28,2024-01-22,3
28,2024-01-23,2
28,2024-01-24,0
28,2024-01-25,1
28,2024-01-26,2
28,2024-01-27,0
28,2024-01-28,4
28,2024-01-29,0
28,2024-01-30,0
29,2024-01-01,0
29,2024-01-02,0
29,2024-01-03,0
29,2024-01-04,0
29,2024-01-05,0
29,2024-01-06,0
29,2024-01-07,2
29,2024-01-08,0
29,2024-01-09,2
29,2024-01-10,2
29,2024-01-11,2
29,2024-01-12,4
29,2024-01-13,0
29,2024-01-14,2
29,2024-01-15,2
29,2024-01-16,2
29,2024-01-17,2
29,2024-01-18,0
29,2024-01-19,0
29,2024-01-20,0
29,2024-01-21,0
29,2024-01-22,0
29,2024-01-23,0
29,2024-01-24,2
29,2024-01-25,2
29,2024-01-26,4
29,2024-01-27,0
29,2024-01-28,2
29,2024-01-29,0
29,2024-01-30,0
30,2024-01-01,2
30,2024-01-02,0
30,2024-01-03,4
30,2024-01-04,0
30,2024-01-05,2
30,2024-01-06,0
30,2024-01-07,2
30,2024-01-08,0
30,2024-01-09,0
30,2024-01-10,6
30,2024-01-11,0
30,2024-01-12,0
30,2024-01-13,1
30,2024-01-14,0
30,2024-01-15,2
30,2024-01-16,0
30,2024-01-17,2
30,2024-01-18,4
30,2024-01-19,4
30,2024-01-20,2
30,2024-01-21,2
30,2024-01-22,0
30,2024-01-23,0
30,2024-01-24,2
30,2024-01-25,0
30,2024-01-26,2
30,2024-01-27,1
30,2024-01-28,0
30,2024-01-29,2
30,2024-01-30,1
31,2024-01-01,0
31,2024-01-02,0
31,2024-01-03,0
31,2024-01-04,0
31,2024-01-05,4
31,2024-01-06,0
31,2024-01-07,0
31,2024-01-08,1
31,2024-01-09,0
31,2024-01-10,0
31,2024-01-11,0
31,2024-01-12,0
31,2024-01-13,2
31,2024-01-14,0
31,2024-01-15,2
31,2024-01-16,0
31,2024-01-17,2
31,2024-01-18,0
31,2024-01-19,2
31,2024-01-20,2
31,2024-01-21,0
31,2024-01-22,0
31,2024-01-23,1
31,2024-01-24,0
31,2024-01-25,2
31,2024-01-26,0
31,2024-01-27,6
31,2024-01-28,2
31,2024-01-29,2
31,2024-01-30,2
32,2024-01-01,0
32,2024-01-02,0
32,2024-01-03,3
32,2024-01-04,2
32,2024-01-05,2
32,2024-01-06,9
32,2024-01-07,4
32,2024-01-08,2
32,2024-01-09,2
32,2024-01-10,2
32,2024-01-11,0
32,2024-01-12,2
32,2024-01-13,0
32,2024-01-14,2
32,2024-01-15,0
32,2024-01-16,0
32,2024-01-17,2
32,2024-01-18,2
32,2024-01-19,2
32,2024-01-20,2
32,2024-01-21,2
32,2024-01-22,2
32,2024-01-23,0
32,2024-01-24,0
32,2024-01-25,0
32,2024-01-26,0
32,2024-01-27,2
32,2024-01-28,0
32,2024-01-29,2
32,2024-01-30,0
33,2024-01-01,2
33,2024-01-02,0
33,2024-01-03,4
33,2024-01-04,0
33,2024-01-05,0
33,2024-01-06,5
33,2024-01-07,0
33,2024-01-08,0
33,2024-01-09,0
33,2024-01-10,0
33,2024-01-11,2
33,2024-01-12,0
33,2024-01-13,2
33,2024-01-14,0
33,2024-01-15,0
33,2024-01-16,3
33,2024-01-17,0
33,2024-01-18,0
33,2024-01-19,0
33,2024-01-20,0
33,2024-01-21,0
33,2024-01-22,2
33,2024-01-23,0
33,2024-01-24,2
33,2024-01-25,2
33,2024-01-26,2
33,2024-01-27,4
33,2024-01-28,2
33,2024-01-29,3
33,2024-01-30,0
34,2024-01-01,2
34,2024-01-02,4
34,2024-01-03,0
34,2024-01-04,4
34,2024-01-05,0
34,2024-01-06,2
34,2024-01-07,2
34,2024-01-08,0
34,2024-01-09,0
34,2024-01-10,2
34,2024-01-11,0
34,2024-01-12,0
34,2024-01-13,0
34,2024-01-14,2
34,2024-01-15,2
34,2024-01-16,2
34,2024-01-17,0
34,2024-01-18,0
34,2024-01-19,3
34,2024-01-20,2
34,2024-01-21,4
34,2024-01-22,0
34,2024-01-23,2
34,2024-01-24,0
34,2024-01-25,4
34,2024-01-26,2
34,2024-01-27,6
34,2024-01-28,0
34,2024-01-29,2
34,2024-01-30,0
35,2024-01-01,0
35,2024-01-02,0
35,2024-01-03,5
35,2024-01-04,0
35,2024-01-05,4
35,2024-01-06,7
35,2024-01-07,2
35,2024-01-08,0
35,2024-01-09,2
35,2024-01-10,2
35,2024-01-11,0
35,2024-01-12,4
35,2024-01-13,0
35,2024-01-14,0
35,2024-01-15,2
35,2024-01-16,0
35,2024-01-17,2
35,2024-01-18,0
35,2024-01-19,0
35,2024-01-20,0
35,2024-01-21,6
35,2024-01-22,2
35,2024-01-23,2
35,2024-01-24,4
35,2024-01-25,0
35,2024-01-26,4
35,2024-01-27,0
35,2024-01-28,2
35,2024-01-29,2
35,2024-01-30,0
36,2024-01-01,4
36,2024-01-02,0
36,2024-01-03,0
36,2024-01-04,0
36,2024-01-05,0
36,2024-01-06,4
36,2024-01-07,1
36,2024-01-08,2
36,2024-01-09,4
36,2024-01-10,2
36,2024-01-11,2
36,2024-01-12,0
36,2024-01-13,2
36,2024-01-14,0
36,2024-01-15,2
36,2024-01-16,0
36,2024-01-17,0
36,2024-01-18,2
36,2024-01-19,4
36,2024-01-20,4
36,2024-01-21,0
36,2024-01-22,2
36,2024-01-23,0
36,2024-01-24,2
36,2024-01-25,4
36,2024-01-26,2
36,2024-01-27,0
36,2024-01-28,0
36,2024-01-29,2
36,2024-01-30,0
37,2024-01-01,4
37,2024-01-02,0
37,2024-01-03,2
37,2024-01-04,2
37,2024-01-05,2
37,2024-01-06,0
37,2024-01-07,2
37,2024-01-08,0
37,2024-01-09,4
37,2024-01-10,0
37,2024-01-11,0
37,2024-01-12,4
37,2024-01-13,0
37,2024-01-14,0
37,2024-01-15,0
37,2024-01-16,0
37,2024-01-17,2
37,2024-01-18,2
37,2024-01-19,5
37,2024-01-20,3
37,2024-01-21,2
37,2024-01-22,0
37,2024-01-23,0
37,2024-01-24,0
37,2024-01-25,4
37,2024-01-26,6
37,2024-01-27,2
37,2024-01-28,2
37,2024-01-29,0
37,2024-01-30,0
38,2024-01-01,0
38,2024-01-02,2
38,2024-01-03,2
38,2024-01-04,0
38,2024-01-05,2
38,2024-01-06,2
38,2024-01-07,2
38,2024-01-08,4
38,2024-01-09,4
38,2024-01-10,0
38,2024-01-11,2
38,2024-01-12,1
38,2024-01-13,4
38,2024-01-14,2
38,2024-01-15,0
38,2024-01-16,1
38,2024-01-17,0
38,2024-01-18,1
38,2024-01-19,0
38,2024-01-20,0
38,2024-01-21,6
38,2024-01-22,0
38,2024-01-23,6
38,2024-01-24,0
38,2024-01-25,2
38,2024-01-26,0
38,2024-01-27,2
38,2024-01-28,0
38,2024-01-29,0
38,2024-01-30,3
39,2024-01-01,0
39,2024-01-02,4
39,2024-01-03,0
39,2024-01-04,2
39,2024-01-05,0
39,2024-01-06,0
39,2024-01-07,0
39,2024-01-08,0
39,2024-01-09,2
39,2024-01-10,2
39,2024-01-11,0
39,2024-01-12,0
39,2024-01-13,2
39,2024-01-14,2
39,2024-01-15,0
39,2024-01-16,4
39,2024-01-17,6
39,2024-01-18,6
39,2024-01-19,4
39,2024-01-20,0
39,2024-01-21,2
39,2024-01-22,0
39,2024-01-23,0
39,2024-01-24,4
39,2024-01-25,0
39,2024-01-26,2
39,2024-01-27,0
39,2024-01-28,0
39,2024-01-29,2
39,2024-01-30,0
40,2024-01-01,2
40,2024-01-02,0
40,2024-01-03,4
40,2024-01-04,2
40,2024-01-05,6
40,2024-01-06,0
40,2024-01-07,2
40,2024-01-08,2
40,2024-01-09,1
40,2024-01-10,0
40,2024-01-11,2
40,2024-01-12,4
40,2024-01-13,0
40,2024-01-14,2
40,2024-01-15,2
40,2024-01-16,2
40,2024-01-17,0
40,2024-01-18,2
40,2024-01-19,2
40,2024-01-20,2
40,2024-01-21,0
40,2024-01-22,2
40,2024-01-23,2
40,2024-01-24,2
40,2024-01-25,0
40,2024-01-26,2
40,2024-01-27,3
40,2024-01-28,2
40,2024-01-29,0
40,2024-01-30,0
41,2024-01-01,0
41,2024-01-02,4
41,2024-01-03,2
41,2024-01-04,0
41,2024-01-05,0
41,2024-01-06,3
41,2024-01-07,2
41,2024-01-08,2
41,2024-01-09,2
41,2024-01-10,2
41,2024-01-11,2
41,2024-01-12,0
41,2024-01-13,0
41,2024-01-14,0
41,2024-01-15,0
41,2024-01-16,4
41,2024-01-17,0
41,2024-01-18,2
41,2024-01-19,0
41,2024-01-20,2
41,2024-01-21,4
41,2024-01-22,0
41,2024-01-23,2
41,2024-01-24,0
41,2024-01-25,0
41,2024-01-26,2
41,2024-01-27,1
41,2024-01-28,2
41,2024-01-29,0
41,2024-01-30,0
42,2024-01-01,3
42,2024-01-02,2
42,2024-01-03,0
42,2024-01-04,3
42,2024-01-05,0
42,2024-01-06,2
42,2024-01-07,4
42,2024-01-08,7
42,2024-01-09,6
42,2024-01-10,4
42,2024-01-11,2
42,2024-01-12,2
42,2024-01-13,0
42,2024-01-14,2
42,2024-01-15,1
42,2024-01-16,2
42,2024-01-17,0
42,2024-01-18,2
42,2024-01-19,0
42,2024-01-20,2
42,2024-01-21,2
42,2024-01-22,0
42,2024-01-23,0
42,2024-01-24,2
42,2024-01-25,2
42,2024-01-26,0
42,2024-01-27,0
42,2024-01-28,4
42,2024-01-29,0
42,2024-01-30,0
43,2024-01-01,0
43,2024-01-02,2
43,2024-01-03,2
43,2024-01-04,2
43,2024-01-05,2
43,2024-01-06,2
43,2024-01-07,0
43,2024-01-08,4
43,2024-01-09,4
43,2024-01-10,0
